"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
141043618,CAL_NK225_1604_13625,CAL,201604,13625,2350,2345,15915.79,43.1411,0.0755,44,Nikkei 225 
191043718,CAL_NK225_1604_13750,CAL,201604,13750,2250,2240,15915.79,42.851,0.0755,44,Nikkei 225 
141043818,CAL_NK225_1604_13875,CAL,201604,13875,2140,2130,15915.79,42.0818,0.0755,44,Nikkei 225 
191044018,CAL_NK225_1604_14000,CAL,201604,14000,2030,2025,15915.79,41.58,0.0755,44,Nikkei 225 
141044118,CAL_NK225_1604_14125,CAL,201604,14125,1920,1920,15915.79,40.9758,0.0755,44,Nikkei 225 
191044218,CAL_NK225_1604_14250,CAL,201604,14250,1830,1820,15915.79,40.5901,0.0755,44,Nikkei 225 
141044318,CAL_NK225_1604_14375,CAL,201604,14375,1720,1715,15915.79,39.787,0.0755,44,Nikkei 225 
191044518,CAL_NK225_1604_14500,CAL,201604,14500,1620,1615,15915.79,39.1881,0.0755,44,Nikkei 225 
141044618,CAL_NK225_1604_14625,CAL,201604,14625,1530,1520,15915.79,38.7643,0.0755,44,Nikkei 225 
191044718,CAL_NK225_1604_14750,CAL,201604,14750,1420,1420,15915.79,37.9508,0.0755,44,Nikkei 225 
141044818,CAL_NK225_1604_14875,CAL,201604,14875,1330,1325,15915.79,37.3016,0.0755,44,Nikkei 225 
141045018,CAL_NK225_1604_15000,CAL,201604,15000,1240,1235,15915.79,36.7946,0.0755,44,Nikkei 225 
141045118,CAL_NK225_1604_15125,CAL,201604,15125,1150,1145,15915.79,36.1639,0.0755,44,Nikkei 225 
141045218,CAL_NK225_1604_15250,CAL,201604,15250,1060,1055,15915.79,35.4113,0.0755,44,Nikkei 225 
141045318,CAL_NK225_1604_15375,CAL,201604,15375,980,975,15915.79,35.0119,0.0755,44,Nikkei 225 
141045518,CAL_NK225_1604_15500,CAL,201604,15500,880,880,15915.79,33.7709,0.0755,44,Nikkei 225 
141045618,CAL_NK225_1604_15625,CAL,201604,15625,800,800,15915.79,33.1002,0.0755,44,Nikkei 225 
141045718,CAL_NK225_1604_15750,CAL,201604,15750,730,727,15915.79,32.6276,0.0755,44,Nikkei 225 
141045818,CAL_NK225_1604_15875,CAL,201604,15875,660,657,15915.79,32.1147,0.0755,44,Nikkei 225 
141046018,CAL_NK225_1604_16000,CAL,201604,16000,595,593,15915.79,31.6708,0.0755,44,Nikkei 225 
141046118,CAL_NK225_1604_16125,CAL,201604,16125,530,530,15915.79,31.1768,0.0755,44,Nikkei 225 
141046218,CAL_NK225_1604_16250,CAL,201604,16250,475,472,15915.79,30.7444,0.0755,44,Nikkei 225 
141046318,CAL_NK225_1604_16375,CAL,201604,16375,420,417,15915.79,30.2543,0.0755,44,Nikkei 225 
141046518,CAL_NK225_1604_16500,CAL,201604,16500,375,375,15915.79,30.1913,0.0755,44,Nikkei 225 
141046618,CAL_NK225_1604_16625,CAL,201604,16625,325,322,15915.79,29.4551,0.0755,44,Nikkei 225 
141046718,CAL_NK225_1604_16750,CAL,201604,16750,285,280,15915.79,29.0267,0.0755,44,Nikkei 225 
141046818,CAL_NK225_1604_16875,CAL,201604,16875,250,245,15915.79,28.8098,0.0755,44,Nikkei 225 
141047018,CAL_NK225_1604_17000,CAL,201604,17000,210,210,15915.79,28.4042,0.0755,44,Nikkei 225 
141047118,CAL_NK225_1604_17125,CAL,201604,17125,180,180,15915.79,28.0943,0.0755,44,Nikkei 225 
141047218,CAL_NK225_1604_17250,CAL,201604,17250,155,153,15915.79,27.7414,0.0755,44,Nikkei 225 
