＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 記載されているオプション商品の「理論価格」は，当該取引日の16時までの間，J-NET取引の値幅を計算する際に用いる理論価格をいいます。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
141017518,CAL_NK225_1601_17500,CAL,201601,17500,2410,2410,19847.58,28.0481,0.13,44,日経225
141017618,CAL_NK225_1601_17625,CAL,201601,17625,2290,2285,19847.58,26.8455,0.13,44,日経225
141017718,CAL_NK225_1601_17750,CAL,201601,17750,2170,2165,19847.58,26.0526,0.13,44,日経225
141017818,CAL_NK225_1601_17875,CAL,201601,17875,2050,2050,19847.58,25.6061,0.13,44,日経225
141018018,CAL_NK225_1601_18000,CAL,201601,18000,1940,1940,19847.58,25.4318,0.13,44,日経225
141018118,CAL_NK225_1601_18125,CAL,201601,18125,1830,1825,19847.58,24.8141,0.13,44,日経225
141018218,CAL_NK225_1601_18250,CAL,201601,18250,1710,1710,19847.58,24.1316,0.13,44,日経225
141018318,CAL_NK225_1601_18375,CAL,201601,18375,1600,1595,19847.58,23.3875,0.13,44,日経225
141018518,CAL_NK225_1601_18500,CAL,201601,18500,1490,1490,19847.58,23.1348,0.13,44,日経225
141018618,CAL_NK225_1601_18625,CAL,201601,18625,1380,1380,19847.58,22.5047,0.13,44,日経225
141018718,CAL_NK225_1601_18750,CAL,201601,18750,1280,1275,19847.58,22.0374,0.13,44,日経225
141018818,CAL_NK225_1601_18875,CAL,201601,18875,1180,1175,19847.58,21.697,0.13,44,日経225
141019018,CAL_NK225_1601_19000,CAL,201601,19000,1070,1070,19847.58,21.0141,0.13,44,日経225
141019118,CAL_NK225_1601_19125,CAL,201601,19125,980,980,19847.58,20.8649,0.13,44,日経225
141019218,CAL_NK225_1601_19250,CAL,201601,19250,885,885,19847.58,20.365,0.13,44,日経225
141019318,CAL_NK225_1601_19375,CAL,201601,19375,800,797,19847.58,20.0291,0.13,44,日経225
141019518,CAL_NK225_1601_19500,CAL,201601,19500,710,710,19847.58,19.5473,0.13,44,日経225
141019618,CAL_NK225_1601_19625,CAL,201601,19625,640,638,19847.58,19.4744,0.13,44,日経225
141019718,CAL_NK225_1601_19750,CAL,201601,19750,560,560,19847.58,19.0506,0.13,44,日経225
141019818,CAL_NK225_1601_19875,CAL,201601,19875,495,495,19847.58,18.9156,0.13,44,日経225
141010018,CAL_NK225_1601_20000,CAL,201601,20000,430,430,19847.58,18.6064,0.13,44,日経225
141010118,CAL_NK225_1601_20125,CAL,201601,20125,370,370,19847.58,18.2998,0.13,44,日経225
141010218,CAL_NK225_1601_20250,CAL,201601,20250,315,315,19847.58,17.9919,0.13,44,日経225
